room ID,Overall rating,Avg. length
13781312,5,209.7
14993473,4.5,199.666666667
4190811,5,168.777777778
9029574,4.5,141.142857143
11826823,5,162.25
14470092,5,225.4
1905098,5,167.913043478
14984780,5,121.666666667
5131362,5,159.076923077
14428305,5,137.5625
13999372,4.5,132.0
11222872,5,109.714285714
9384282,5,124.06
14944415,5,82.5
11786145,5,89.35
